Year,GeometricMean
2003,-0.002346858692547471
2004,0.07638992332562111
2005,0.14884249706243224
2006,0.017781769073820897
2007,0.18728427625262611
2008,-0.3620460020480323
2009,0.3004883568396508
2010,0.05508961502457055
2011,0.07088107170267222
2012,0.0033233667963230573
2013,0.000649412648911607
2014,-0.2837723999152928
2015,-0.19693162816612642
2016,0.2061106338132106
2017,0.07405996656103753
2018,-0.08732426767369361
2019,0.10717641863297445
2020,-0.11702750602610479
2021,0.16984005553507586
2022,0.016163659061191993
2023,-0.046795329047142786
